"MCQ240U.Code.or.Value","MCQ240U.Value.Description","MCQ240U.Count","MCQ240U.Cumulative","MCQ240U.Skip.to.Item"
"10 to 78","Range of Values",89,89,NA
"80","80 years or older",10,99,NA
"77777","Refused",1,100,NA
"99999","Don't know",0,100,NA
".","Missing",10009,10109,NA
