"AUDTYL31.Code.or.Value","AUDTYL31.Value.Description","AUDTYL31.Count","AUDTYL31.Cumulative","AUDTYL31.Skip.to.Item"
"0 to 2.75","Range of Values",2154,2154,NA
".","Missing",214,2368,NA
