"DRQ370HQ.Code.or.Value","DRQ370HQ.Value.Description","DRQ370HQ.Count","DRQ370HQ.Cumulative","DRQ370HQ.Skip.to.Item"
"1 to 8","Range of Values",52,52,NA
".","Missing",9230,9282,NA
