"OHAROCDT.Code.or.Value","OHAROCDT.Value.Description","OHAROCDT.Count","OHAROCDT.Cumulative","OHAROCDT.Skip.to.Item"
"1","Yes",1584,1584,NA
"2","No",14,1598,NA
".","Missing",6591,8189,NA
