"DRD340.Code.or.Value","DRD340.Value.Description","DRD340.Count","DRD340.Cumulative","DRD340.Skip.to.Item"
"1","Yes",1219,1219,""
"2","No",1641,2860,"DRD360"
"7","Refused",5,2865,"DRD360"
"9","Don't know",9,2874,"DRD360"
".","Missing",6769,9643,""
