"DR2IM221.Code.or.Value","DR2IM221.Value.Description","DR2IM221.Count","DR2IM221.Cumulative","DR2IM221.Skip.to.Item"
"0 to 2.488","Range of Values",131205,131205,NA
".","Missing",946,132151,NA
