"DR1TS080.Code.or.Value","DR1TS080.Value.Description","DR1TS080.Count","DR1TS080.Cumulative","DR1TS080.Skip.to.Item"
"0 to 15.268","Range of Values",8389,8389,NA
".","Missing",949,9338,NA
