"LBXSATSI.Code.or.Value","LBXSATSI.Value.Description","LBXSATSI.Count","LBXSATSI.Cumulative","LBXSATSI.Skip.to.Item"
"5 to 272","Range of Values",6349,6349,NA
".","Missing",631,6980,NA
