"DSQTFA.Code.or.Value","DSQTFA.Value.Description","DSQTFA.Count","DSQTFA.Cumulative","DSQTFA.Skip.to.Item"
"0.4 to 5531.3","Range of Values",2676,2676,NA
".","Missing",7861,10537,NA
