"LBDV1DLC.Code.or.Value","LBDV1DLC.Value.Description","LBDV1DLC.Count","LBDV1DLC.Cumulative","LBDV1DLC.Skip.to.Item"
"0","detectable result",0,0,NA
"1","below detectable limit",1327,1327,NA
"2","detectable result and exceeds the calibrated range of assay",0,1327,NA
".","Missing",162,1489,NA
