"AUXLR144.Code.or.Value","AUXLR144.Value.Description","AUXLR144.Count","AUXLR144.Cumulative","AUXLR144.Skip.to.Item"
"-15 to 103","Range of Values",2152,2152,NA
".","Missing",216,2368,NA
