"ECQ020.Code.or.Value","ECQ020.Value.Description","ECQ020.Count","ECQ020.Cumulative","ECQ020.Skip.to.Item"
"1","Yes",636,636,""
"2","No",3237,3873,"ECQ060"
"7","Refused",0,3873,"ECQ060"
"9","Don't know",36,3909,"ECQ060"
".","Missing",0,3909,""
