"PFD069P.Code.or.Value","PFD069P.Value.Description","PFD069P.Count","PFD069P.Cumulative","PFD069P.Skip.to.Item"
"1 to 27394","Range of Values",183,183,NA
"66666","Since birth",4,187,NA
"77777","Refused",0,187,NA
"99999","Don't know",7,194,NA
".","Missing",9472,9666,NA
