"TYXP230.Code.or.Value","TYXP230.Value.Description","TYXP230.Count","TYXP230.Cumulative","TYXP230.Skip.to.Item"
"-299 to 149","Range of Values",145,145,NA
".","Missing",5440,5585,NA
