"DR1TP204.Code.or.Value","DR1TP204.Value.Description","DR1TP204.Count","DR1TP204.Cumulative","DR1TP204.Skip.to.Item"
"0 to 1.269","Range of Values",9118,9118,NA
".","Missing",644,9762,NA
