"OSD030aa.Code.or.Value","OSD030aa.Value.Description","OSD030aa.Count","OSD030aa.Cumulative","OSD030aa.Skip.to.Item"
"2 to 78","Range of Values",67,67,NA
"80","80 or older",13,80,NA
"77777","Refused",0,80,NA
"99999","Don't know",2,82,NA
".","Missing",3733,3815,NA
