"AUXR4KR.Code.or.Value","AUXR4KR.Value.Description","AUXR4KR.Count","AUXR4KR.Cumulative","AUXR4KR.Skip.to.Item"
"80 to 100","Range of Values",4,4,NA
"666","No response",0,4,NA
"888","Could not obtain",0,4,NA
".","Missing",2364,2368,NA
