"RFXC160.Code.or.Value","RFXC160.Value.Description","RFXC160.Count","RFXC160.Cumulative","RFXC160.Skip.to.Item"
"-7.577 to 6.397","Range of Values",51051,51051,NA
".","Missing",25,51076,NA
