"AUXU8KL.Code.or.Value","AUXU8KL.Value.Description","AUXU8KL.Count","AUXU8KL.Cumulative","AUXU8KL.Skip.to.Item"
"-10 to 110","Range of Values",1879,1879,NA
"666","No response",3,1882,NA
"888","Could not obtain",0,1882,NA
".","Missing",164,2046,NA
