"LBXSGTSI.Code.or.Value","LBXSGTSI.Value.Description","LBXSGTSI.Count","LBXSGTSI.Cumulative","LBXSGTSI.Skip.to.Item"
"4 to 892","Range of Values",6376,6376,NA
".","Missing",541,6917,NA
