"URXUP8.Code.or.Value","URXUP8.Value.Description","URXUP8.Count","URXUP8.Cumulative","URXUP8.Skip.to.Item"
"0.0354 to 583","Range of Values",2508,2508,NA
".","Missing",97,2605,NA
