"AUXR4KR.Code.or.Value","AUXR4KR.Value.Description","AUXR4KR.Count","AUXR4KR.Cumulative","AUXR4KR.Skip.to.Item"
"30 to 100","Range of Values",8,8,NA
"666","No response",1,9,NA
"888","Could not obtain",0,9,NA
".","Missing",1798,1807,NA
