"LBDEPAHL.Code.or.Value","LBDEPAHL.Value.Description","LBDEPAHL.Count","LBDEPAHL.Cumulative","LBDEPAHL.Skip.to.Item"
"0","At or above the detection limit",72,72,NA
"1","Below lower detection limit",2028,2100,NA
".","Missing",194,2294,NA
