"PFQ061F.Code.or.Value","PFQ061F.Value.Description","PFQ061F.Count","PFQ061F.Cumulative","PFQ061F.Skip.to.Item"
"1","No difficulty",1483,1483,NA
"2","Some difficulty",361,1844,NA
"3","Much difficulty",109,1953,NA
"4","Unable to do",80,2033,NA
"5","Do not do this activity",120,2153,NA
"7","Refused",0,2153,NA
"9","Don't know",0,2153,NA
".","Missing",7669,9822,NA
