"LBDGLUSI.Code.or.Value","LBDGLUSI.Value.Description","LBDGLUSI.Count","LBDGLUSI.Cumulative","LBDGLUSI.Skip.to.Item"
"2.498 to 23.203","Range of Values",3128,3128,NA
".","Missing",224,3352,NA
