"DS1TVK.Code.or.Value","DS1TVK.Value.Description","DS1TVK.Count","DS1TVK.Cumulative","DS1TVK.Skip.to.Item"
"0.8 to 400","Range of Values",1130,1130,NA
".","Missing",9123,10253,NA
