"OSD110h.Code.or.Value","OSD110h.Value.Description","OSD110h.Count","OSD110h.Cumulative","OSD110h.Skip.to.Item"
"40 to 62","Range of Values",2,2,NA
"80","80 or older",0,2,NA
"777","Refused",0,2,NA
"999","Don't know",0,2,NA
".","Missing",5933,5935,NA
