"DR2TFOLA.Code.or.Value","DR2TFOLA.Value.Description","DR2TFOLA.Count","DR2TFOLA.Cumulative","DR2TFOLA.Skip.to.Item"
"0 to 4186","Range of Values",7496,7496,NA
".","Missing",1842,9338,NA
