"DS1AN.Code.or.Value","DS1AN.Value.Description","DS1AN.Count","DS1AN.Cumulative","DS1AN.Skip.to.Item"
"1","Yes",263,263,NA
"2","No",8986,9249,NA
"7","Refused",0,9249,NA
"9","Don't know",0,9249,NA
".","Missing",513,9762,NA
