"DR1TM201.Code.or.Value","DR1TM201.Value.Description","DR1TM201.Count","DR1TM201.Cumulative","DR1TM201.Skip.to.Item"
"0 to 3.834","Range of Values",9169,9169,NA
".","Missing",781,9950,NA
