"DSQIFA.Code.or.Value","DSQIFA.Value.Description","DSQIFA.Count","DSQIFA.Cumulative","DSQIFA.Skip.to.Item"
"2 to 12000","Range of Values",2658,2658,NA
".","Missing",5611,8269,NA
