"BIXC115K.Code.or.Value","BIXC115K.Value.Description","BIXC115K.Count","BIXC115K.Cumulative","BIXC115K.Skip.to.Item"
"31.9 to 133.01","Range of Values",4709,4709,NA
".","Missing",1240,5949,NA
