"PAQ759a.Code.or.Value","PAQ759a.Value.Description","PAQ759a.Count","PAQ759a.Cumulative","PAQ759a.Skip.to.Item"
"1","BASEBALL/SOFTBALL",118,118,NA
"77","Refused",0,118,NA
"99","Don't know",2,120,NA
".","Missing",9364,9484,NA
