"BAXPFC42.Code.or.Value","BAXPFC42.Value.Description","BAXPFC42.Count","BAXPFC42.Cumulative","BAXPFC42.Skip.to.Item"
"1","Pass",318,318,"End of Section"
"2","Dnp(did not pass)",1095,1413,""
".","Missing",1673,3086,""
