"LBXF03.Code.or.Value","LBXF03.Value.Description","LBXF03.Count","LBXF03.Cumulative","LBXF03.Skip.to.Item"
"5.37 to 442.5","Range of Values",1871,1871,NA
".","Missing",414,2285,NA
