"AUAEXSTS.Code.or.Value","AUAEXSTS.Value.Description","AUAEXSTS.Count","AUAEXSTS.Cumulative","AUAEXSTS.Skip.to.Item"
"1","Complete",3708,3708,NA
"2","Partial",200,3908,NA
"3","Not done",592,4500,NA
".","Missing",0,4500,NA
