"MCQ160K.Code.or.Value","MCQ160K.Value.Description","MCQ160K.Count","MCQ160K.Cumulative","MCQ160K.Skip.to.Item"
"1","Yes",311,311,""
"2","No",5891,6202,"MCQ160L"
"7","Refused",0,6202,"MCQ160L"
"9","Don't know",16,6218,"MCQ160L"
".","Missing",3891,10109,""
