"DXXVFATV.Code.or.Value","DXXVFATV.Value.Description","DXXVFATV.Count","DXXVFATV.Cumulative","DXXVFATV.Skip.to.Item"
"4.29 to 2074.22","Range of Values",4693,4693,NA
".","Missing",999,5692,NA
