"LBXSTR.Code.or.Value","LBXSTR.Value.Description","LBXSTR.Count","LBXSTR.Cumulative","LBXSTR.Skip.to.Item"
"9 to 2693","Range of Values",6856,6856,NA
".","Missing",513,7369,NA
