"DS2IFDFE.Code.or.Value","DS2IFDFE.Value.Description","DS2IFDFE.Count","DS2IFDFE.Cumulative","DS2IFDFE.Skip.to.Item"
"10 to 34000","Range of Values",1808,1808,NA
".","Missing",3891,5699,NA
