"LBXSAPSI.Code.or.Value","LBXSAPSI.Value.Description","LBXSAPSI.Count","LBXSAPSI.Cumulative","LBXSAPSI.Skip.to.Item"
"9 to 907","Range of Values",6552,6552,NA
".","Missing",427,6979,NA
