"TYXP032.Code.or.Value","TYXP032.Value.Description","TYXP032.Count","TYXP032.Cumulative","TYXP032.Skip.to.Item"
"-8 to 188","Range of Values",8469,8469,NA
".","Missing",0,8469,NA
