"IMQ090.Code.or.Value","IMQ090.Value.Description","IMQ090.Count","IMQ090.Cumulative","IMQ090.Skip.to.Item"
"1 to 51","Range of Values",822,822,NA
"777","Refused",0,822,NA
"999","Don't know",144,966,NA
".","Missing",9005,9971,NA
