"CSXONOD.Code.or.Value","CSXONOD.Value.Description","CSXONOD.Count","CSXONOD.Cumulative","CSXONOD.Skip.to.Item"
"1","Chocolate",53,53,NA
"2","Strawberry",33,86,NA
"3","Onion",3321,3407,NA
"4","Fruit Punch",112,3519,NA
".","Missing",189,3708,NA
