"DS1AN.Code.or.Value","DS1AN.Value.Description","DS1AN.Count","DS1AN.Cumulative","DS1AN.Skip.to.Item"
"1","Yes",233,233,NA
"2","No",9515,9748,NA
"7","Refused",0,9748,NA
"9","Don't know",0,9748,NA
".","Missing",505,10253,NA
