"URDTCVLC.Code.or.Value","URDTCVLC.Value.Description","URDTCVLC.Count","URDTCVLC.Cumulative","URDTCVLC.Skip.to.Item"
"0","At or above the detection limit",0,0,NA
"1","Below lower detection limit",2486,2486,NA
".","Missing",119,2605,NA
