"OHD29LAS.Code.or.Value","OHD29LAS.Value.Description","OHD29LAS.Count","OHD29LAS.Cumulative","OHD29LAS.Skip.to.Item"
"0 to 8","Range of Values",2164,2164,NA
"99","Calculation cannot be determined",393,2557,NA
".","Missing",4161,6718,NA
