"DXXLABMD.Code.or.Value","DXXLABMD.Value.Description","DXXLABMD.Count","DXXLABMD.Cumulative","DXXLABMD.Skip.to.Item"
"0.353 to 1.222","Range of Values",4682,4682,NA
".","Missing",1010,5692,NA
