"RHQ574.Code.or.Value","RHQ574.Value.Description","RHQ574.Count","RHQ574.Cumulative","RHQ574.Skip.to.Item"
"1","Yes",67,67,NA
"2","No",51,118,NA
"7","Refused",0,118,NA
"9","Don't know",1,119,NA
".","Missing",3746,3865,NA
