"OHD22LAM.Code.or.Value","OHD22LAM.Value.Description","OHD22LAM.Count","OHD22LAM.Cumulative","OHD22LAM.Skip.to.Item"
"0 to 13","Range of Values",1711,1711,NA
"99","Calculation cannot be determined",108,1819,NA
".","Missing",4939,6758,NA
