"DR1TCHL.Code.or.Value","DR1TCHL.Value.Description","DR1TCHL.Count","DR1TCHL.Cumulative","DR1TCHL.Skip.to.Item"
"0 to 1997.9","Range of Values",8327,8327,NA
".","Missing",1217,9544,NA
