"DXDTOBMD.Code.or.Value","DXDTOBMD.Value.Description","DXDTOBMD.Count","DXDTOBMD.Cumulative","DXDTOBMD.Skip.to.Item"
"0.598 to 1.88","Range of Values",4524,4524,NA
".","Missing",1168,5692,NA
