"DR2IS060.Code.or.Value","DR2IS060.Value.Description","DR2IS060.Count","DR2IS060.Cumulative","DR2IS060.Skip.to.Item"
"0 to 2.928","Range of Values",128570,128570,NA
".","Missing",571,129141,NA
