"OSD030bf.Code.or.Value","OSD030bf.Value.Description","OSD030bf.Count","OSD030bf.Cumulative","OSD030bf.Skip.to.Item"
"15 to 70","Range of Values",4,4,NA
"85","85 or older",0,4,NA
"77777","Refused",0,4,NA
"99999","Don't know",0,4,NA
".","Missing",4975,4979,NA
