"DR1TVARA.Code.or.Value","DR1TVARA.Value.Description","DR1TVARA.Count","DR1TVARA.Cumulative","DR1TVARA.Skip.to.Item"
"0 to 24906","Range of Values",9169,9169,NA
".","Missing",781,9950,NA
