"MCQ320.Code.or.Value","MCQ320.Value.Description","MCQ320.Count","MCQ320.Cumulative","MCQ320.Skip.to.Item"
"1 to 85","Range of Values",783,783,NA
"777","Refused",0,783,NA
"999","Don't know",47,830,NA
".","Missing",8992,9822,NA
