"HUQ051.Code.or.Value","HUQ051.Value.Description","HUQ051.Count","HUQ051.Cumulative","HUQ051.Skip.to.Item"
"0","None",1421,1421,""
"1","1",2049,3470,"HUQ071"
"2","2 to 3",3140,6610,"HUQ071"
"3","4 to 5",1487,8097,"HUQ071"
"4","6 to 7",699,8796,"HUQ071"
"5","8 to 9",271,9067,"HUQ071"
"6","10 to 12",437,9504,"HUQ071"
"7","13 to 15",133,9637,"HUQ071"
"8","16 or more",304,9941,"HUQ071"
"77","Refused",2,9943,"HUQ071"
"99","Don't know",28,9971,"HUQ071"
".","Missing",0,9971,""
