"WBXA050.Code.or.Value","WBXA050.Value.Description","WBXA050.Count","WBXA050.Cumulative","WBXA050.Skip.to.Item"
"-3.1151 to 0.9999","Range of Values",8554,8554,NA
".","Missing",0,8554,NA
