"DR2TPHOS.Code.or.Value","DR2TPHOS.Value.Description","DR2TPHOS.Count","DR2TPHOS.Cumulative","DR2TPHOS.Skip.to.Item"
"0 to 9750","Range of Values",7453,7453,NA
".","Missing",2360,9813,NA
