"DSQTSUGR.Code.or.Value","DSQTSUGR.Value.Description","DSQTSUGR.Count","DSQTSUGR.Cumulative","DSQTSUGR.Skip.to.Item"
"0.02 to 45.73","Range of Values",1234,1234,NA
".","Missing",8737,9971,NA
