"BIXS039K.Code.or.Value","BIXS039K.Value.Description","BIXS039K.Count","BIXS039K.Cumulative","BIXS039K.Skip.to.Item"
"188.04 to 1000.74","Range of Values",4709,4709,NA
".","Missing",1240,5949,NA
