"URX3TB.Code.or.Value","URX3TB.Value.Description","URX3TB.Count","URX3TB.Cumulative","URX3TB.Skip.to.Item"
"0.35 to 29.6","Range of Values",2525,2525,NA
".","Missing",87,2612,NA
