"AUXRR229.Code.or.Value","AUXRR229.Value.Description","AUXRR229.Count","AUXRR229.Cumulative","AUXRR229.Skip.to.Item"
"-12 to 48","Range of Values",1139,1139,NA
".","Missing",71,1210,NA
