"DSQIVB12.Code.or.Value","DSQIVB12.Value.Description","DSQIVB12.Count","DSQIVB12.Cumulative","DSQIVB12.Skip.to.Item"
"0.04 to 15000","Range of Values",3123,3123,NA
".","Missing",5994,9117,NA
